question,answer_date,ministry,question_type,question_no,question_by,question_title,question_description,answer
150010,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2944,SHRI RAJNITI PRASAD,EXPORT OF RICE AND VEGETABLES .,"(a) the quantity of rice and vegetables being exported and their volume and value, product-wise; and (b) whether any trial of GM vegetables and their productions will have any adverse effect on the quantity of exports?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA) (a) The details of export of Rice (Basmati & Non-Basmati) and Vegetables, both in quantity and value, for the last two years is as under: Quantity: in MTs, Value: in Rs. lakhs Particular 2007-08 2008-09 Quantity Value Quantity Value Rice ‚<U+0080><U+0093> Basmati 1183356 43448 1556383 947685 Rice‚<U+0080><U+0093>Non Basmati 5285916 740979 949992 169143 Vegetables 1358841 152527 1859118 214227 Source: DGCIS, APEDA Provisional data from DGCIS. The quantity & value data for vegetables in 2008-09 is for Apr08-Feb09 period only. (b) The GM Trials of vegetables and their production is not likely to have any adverse impact on the quantity of exports."
150011,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2945,SHRI RAJNITI PRASAD,MECHANISM TO REGULATE IMPORTED GM PACKAGED FOODS .,"(a) whether Government has any mechanism to regulate imported packaged food on the basis of GM or non-GM foods; (b) if so, the salient features of the scheme; and (c) if not, the alternative method followed to regulate imported packaged food items?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA) (a) and (b) Import of Genetically Modified (GM) Food Products in India is governed by the ‚<U+0080><U+0098>Rules for the Manufacture, Use, Import and Export and Storage of Hazardous Micro Organisms/Genetically Engineered Organisms or Cells, 1989, notified under provisions of Environment Protection Act, 1986. Accordingly, as per the provisions incorporated in the ITC (HS) Classifications of Export and Import Items (Schedule I), import of any food, feed, raw or processed or any ingredient of food, food additives or any food product that contains GM material and which is being used either for industrial production, environmental release or field application, will be allowed only with the approval of the Genetic Engineering Approval Committee (GEAC) in Ministry of Environment & Forests, Government of India. At the time of import, all consignments containing products which have been subjected to genetic modification, will carry a declaration stating that the product is Genetically Modified. In case, a consignment does not carry such a declaration and is later found to contain Genetically Modified material, the importer is liable to penal action under Foreign Trade (Development and Regulation) Act, 1992. (c) : Does not arise in view of (a) and (b) above."
150012,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2946,SHRI N.R. GOVINDARAJAR,INDIAN PRODUCTS UNCOMPETITIVE IN WORLD MARKET .,"(a) whether it is a fact that an estimated 1.257 million mandays of jobs were lost in the export sector as shrinking world demand has affected exports of Indian products; (b) whether it is also a fact that Indian products are becoming uncompetitive because of high prices in the world market, since many countries like China offer much better prices due to increased drawback refund; (c) if so, the details thereof; and (d) the steps taken by Government to give more incentives to this sector to encourage export growth in our country?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA) (a) to (d): The shrinkage of demand in developed countries due to global economic slowdown and the reduced international prices of commodities had significantly contributed to decline in India‚<U+0080><U+0099>s merchandise exports, and some attendant job losses. As per the Quarterly Employment Surveys conducted by the Labour Bureau, after an over all decline in employment in the exporting units to the extent of 1.67 lakh during April to June, 2009 over January to March, 2009, the exporting units have shown recovery by registering an increase in employment to the extent of 2.04 lakhs during July to September, 2009 over April to June, 2009. To make our products competitive and to arrest the decline in exports, the Government / RBI announced stimulus packages including the announcements made in the Budget 2009-10 and in the Foreign Trade Policy (FTP) 2009-14, in the form of incentives and other support measures, particularly for the employment oriented sectors. The Government and RBI closely monitor the economic developments in the country and internationally, on a continuous basis, and need based measures are taken, from time to time, keeping in view the financial and overall economic implications."
150013,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2947,Shri Rajiv Pratap Rudy,RELIEF PACKAGE TO EXPORTERS,"(a) whether it is a fact that Government is considering relief package for some selected exporters; (b) if so, the details thereof; and (c) the details of criterion to get relief package by exporters?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA) a) to c): The Government and RBI closely monitor the economic developments in the country and internationally on a continuous basis, and need based measures are taken from time to time, keeping in view the financial and overall economic implications. To arrest the decline in exports, the Government/RBI announced stimulus packages including the announcements made in the Budget 2009-10 and in the Foreign Trade Policy(FTP) 2009-14 to provide support. All eligible exporters are entitled for the benefit as per the laid down criterion specified against each of the relief measures to be extended by the concerned departments/institutions. FTP, 2009-14 with details of FTP measures and the eligibility criterion has been laid in Parliament and is also available in public domain on website http://dgft.gov.in. Further need based measures would be taken, as may be require."
150014,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2948,SHRI MANOHAR JOSHI,EXTENSION OF TIME TO DEVELOPERS OF SEZS .,"(a) the total number of Special Economic Zone (SEZ) proposals cleared by Government, till date; (b) how many developers have asked for extension of time to execute the SEZ proposals; and (c) the Government`s policy in this regard?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA) (a): In addition to seven Central Government SEZs and 12 State/Private Sector SEZs set up prior to the enactment of SEZ Act, 2005, formal approval has been accorded to 570 proposals out of which 346 SEZs have been notified. A total of 101 SEZs have commenced export. (b) and (c): Requests for extension of validity period beyond the initial period of three years have been received from Developers citing the global economic slowdown/delay in getting requisite clearances etc., as grounds for extension. Having regard to the provisions of the SEZ Act, 2005 and SEZ Rules, 2006 and the grounds cited, the Board of Approval (BOA) have permitted extension of validity of 89 SEZs beyond the initial 3 years subject to the same terms and conditions as envisaged in the original approval. Requests for extension are considered on merits."
150015,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2949,SHRI RAMDAS AGARWAL,7TH MINISTERIAL CONFERENCE OF WTO AT GENEVA .,"(a) whether India participated at the 7th Ministerial Conference of the World Trade Organization held in Geneva recently to review the WTO`s functioning titled `The WTO, the Multilateral Trading System and the Current Global Economic Environment`; (b) if so, whether India was able to push for major reforms at the WTO with regard to dealing with regulation of multilateral trade between nations, handling trade disputes, monitoring National Trade Policies and providing technical assistance and training to developing countries; and (c) if so, the details thereof?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA) (a) Yes, Sir. India participated at the 7th Ministerial Conference of the World Trade Organisation (WTO) held in Geneva recently from 30 November to 2 December 2009. (b) & (c) India has recently made a submission to the WTO General Council containing proposals to improve the functioning and efficiency of the WTO as a rules-based system. There has been widespread support for these proposals. At the Ministerial conference, India expressed its deep interest in the continued growth and credibility of the WTO. To this end, India made a submission to the General Council containing proposals to improve the functioning and efficiency of WTO as a rules-based system. These proposals are designed to improve the capacity of WTO to provide better services to its Members without in any way diluting its fundamental deliberative structure based on consensus. The proposal seeks to enhance transparency, inclusivity and efficiency. The importance of technical assistance and capacity building for developing countries and LDCs was stressed by members. The meeting also underlined the value of the Dispute Settlement System and the need for it to be made more responsive to the needs and circumstances of poorer and smaller Members."
150016,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2950,SHRI S.S. AHLUWALIA,SEZS CONVERTED INTO COMMERCIAL REAL ESTATE OPERATIONS .,"(a) the details of the Special Economic Zones (SEZs) approved by Government since 2004-05, State-wise, indicating the size of land acquired by each and volume of investment committed, if any; (b) the current status of implementations of the SEZs; (c) whether Government has been seized of the fact that several of these SEZs have converted into commercial real estate operations in deviation of the SEZ policy of Government; and (d) if so, the details thereof indicating the steps taken against the developers of such SEZs who are found to be deviating from the norms/rules prescribed by Government?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA) (a) and (b): In addition to seven Central Government SEZs and 12 State/Private Sector SEZs set up prior to the enactment of SEZ Act, 2005, formal approval has been accorded to 570 proposals out of which 346 SEZs have been notified. A statement containing state-wise break up of land involved in notified SEZs is placed at Annexure. A total of 101 SEZs are already exporting. An investment of Rs. 1,30,341 crore has been made in SEZs. In terms of SEZ Rules, validity of approval is for a period of three years within which time effective steps are to be taken by the developer to implement the approved proposal. On a request received from the Developer the Board of Approval can extend the validity period upto two years. (c) and (d): Land in SEZ cannot be sold by the Developer. Not less than 50% of total area of SEZ shall be the processing area."
150017,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2952,Shri Om Prakash Mathur,FINANCIAL ASSISTANCE TO TEA EXPORTERS .,"(a) the production of tea in tonnes in the country during the last year alongwith the quantity exported out of the same; (b) whether Government is providing any type of financial assistance to the tea exporters at present; and (c) if so, the details thereof and if not, whether any such scheme would be introduced in the future?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA) (a): The estimated production of tea in India during 2008-09 is 972,770 tonnes and the export of tea from India is 190,640 tonnes. (b) & (c): Government through Tea Board is providing financial assistance to tea exporters under the Market Promotion Scheme. A transport subsidy of Rs. 1.50 per kg. is provided for teas exported through Inland Container Depot (ICD) Amingaon. In keeping with Market Development Assistance (MDA) guidelines exporting companies having Free on Board (FOB) value of exports upto Rs.15 crore (or below) in the previous year are eligible for reimbursement of travel cost and built up furnished stall for participation in fairs/exhibitions/buyer-seller meet etc. subject to prescribed upper ceiling per tour. In the EXIM Policy 2009-14, tea has been included as one of the items eligible for the Duty Credit Scrip of 5% on the export value of the consignment under Visesh Krishi and Gram Udyog Yojana (VKGUY) Scheme."
150018,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2953,Dr. E.M. Sudarsana Natchiappan,INTERNATIONAL POLICY NET WORK REPORT S ON FAKE MEDICINES .,"(a) whether Government has taken notice of the London based International Policy Net Work report that pronounced India as one of the largest producers of fake medicine and other organizations cautioned India on drug quality or suffer loss of business; and (b) if so, the details of steps taken in this regard?","MINISTER OF COMMERCE AND INDUSTRY (SHRI ANAND SHARMA) (a) & (b) : Government‚<U+0080><U+0099>s attention has been drawn to the report. However, the basis of the statements made therein and source of the data given is not known to Government of India."
150019,02.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,1370,PROF. ALKA BALRAM KSHATRIYA,NEW FOREIGN TRADE POLICY .,"(a) whether Government has recently unveiled the new foreign trade policy; (b) if so, the salient features of the policy and whether the exporters or importers who were hit hard by global slowdown have got any relief from the new foreign trade policy; (c) if so, the details thereof; and (d) the details of representations received by Government on the new foreign trade policy and action contemplated by Government thereon?","THE MINISTER OF STATE IN THE MINISTRY OF COMMERCE AND INDUSTRY (SHRI JYOTIRADITYA M. SCINDIA) (a) to (d): The Government released the Foreign Trade Policy (FTP), 2009-14 on 27.8.09 wherein significant support was provided for market diversification, incentivizing exports and providing additional support particularly for those sectors which have been hit badly by recession in developed world. FTP, 2009-14 included a mix of policy measures including fiscal incentives, procedural rationalization, enhanced market access across the world and diversification of export markets. FTP, 2009-14 has been laid in Parliament and is also available in public domain on website http://dgft.gov.in. Representations received from Trade and Industry Associations, pertaining to various aspects of FTP, are examined from time to time and need based measures are taken, keeping in view, the financial implications."
150020,11.12.2009,HUMAN RESOURCE DEVELOPMENT,UNSTARRED,2535,SHRI NAND KISHORE YADAV,MINORITY STATUS FOR CENTRAL UNIVERSITIES .,"(a) the details of central universities which have been given minority status, State-wise; (b) the criterion for granting minority status to universities; (c) the details of facilities given to those institutions/ universities which have been granted minority status; (d) whether Government will grant minority status to Jamia Millia Islamia; and (e) if so, by when and if not, the reasons thereof?","MINISTER OF STATE IN THE MINISTRY OF HUMAN RESROUCE DEVELOPMENT (SMT. D. PURANDESWARI) (a) to (e): Section 2(l) of the Aligarh Muslim University Act, 1920 defines the University as ‚<U+0080><U+0098>the educational institution of their choice established by the Muslims of India, which originated as the Muhammadan Anglo-Oriental College, Aligarh and which was subsequently incorporated as the Aligarh Muslim University‚<U+0080><U+0099>. Section 5(2)(c) of the Act empowers the University ‚<U+0080><U+0098>to promote especially the educational and cultural advancement of the Muslims of India.‚<U+0080><U+0099> In view of this, the Central Government treats Aligarh Muslim University in the State of Uttar Pradesh as a minority institution within the meaning of Article 30(1) of the Constitution of India. However, the question relating to minority institution status of Aligarh Muslim University is pending before the Hon‚<U+0080><U+0099>ble Supreme Court of India where the interpretation of the term ‚<U+0080><U+0098>establishing‚<U+0080><U+0099> a University, as was laid down in the ‚<U+0080><U+0098>Azeez Basha‚<U+0080><U+0099> matter is under challenge. Universities with minority status enjoy the rights under Article 30(1) of the Constitution. The demand for grant of minority status to Jamia Millia Islamia, a Central University established under the Jamia Millia Islamia Act, 1988, has been received from certain quarters. The orders of the Supreme Court in the AMU matter will have a bearing on the issue relating to the minority character of Jamia Millia Islamia, which is pending before the Hon‚<U+0080><U+0099>ble National Commission for Minority Educational Institutions."
150021,11.12.2009,HUMAN RESOURCE DEVELOPMENT,UNSTARRED,2537,SHRIMATI T. RATNA BAI,MODERNIZATION OF AUTONOMOUS MINORITY COLLEGES .,"(a) whether Government is taking steps for modernization and upgradations of autonomous minority colleges; (b) if so, the details thereof during the last three years, State-wise; and (c) the funds spent during the said period?","MINISTER OF STATE IN THE MINISTRY OF HUMAN RESOURCE DEVELOPMENT (SMT. D. PURANDESWARI) (a) to (c) Whereas University Grants Commission (UGC) provides Development Grant to eligible autonomous colleges for modernization and upgradation, including those established by the minorities subject to their being eligible under the UGC Scheme for the purpose. Details of financial assistance provided to Minority colleges is not maintained separately."
150022,11.12.2009,HUMAN RESOURCE DEVELOPMENT,UNSTARRED,2544,SHRI SYED AZEEZ PASHA,MINIMUM MARKS FOR JEE .,(a) whether Government is aware of the protests organized by Students‚<U+0080><U+0099> Unions across the country regarding change in the minimum marks required for the Joint Entrance Examination (JEE) from 60 to 80 per cent in class XII; and (b) the reaction of Government regarding this issue?,"MINISTER OF STATE IN THE MINISTRY OF HUMAN RESOURCE DEVELOPMENT (SMT. D. PURANDESWARI) (a) & (b) : The Joint Admission Board (JAB), which consists of representatives from all the Indian Institutes of Technology (IITs), Indian School of Mines (ISM), Dhanbad and Institute of Technology - Banaras Hindu University (IT- BHU) as well as a representative of the Ministry of Human Resource Development, makes recommendations in respect of matters relating to the Joint Entrance Examination (JEE). A Review Committee has been set up by the JAB to give its recom-mendations regarding factoring in of class XII results on a percentile basis while deciding admissions into IITs. Integrating class XII results with JEE results will help reduce dependence on coaching centres. Further, variation in the results of various Boards would be taken care of by following the cut-off marks on percentile basis. As the idea is yet to crystallise, it is too early to expect any reaction in concrete terms."
150023,11.12.2009,HUMAN RESOURCE DEVELOPMENT,UNSTARRED,2546,Shri Mohd. Ali Khan,SEATS FOR DISADVANTAGED CHILDREN IN MINORITY SCHOOLS .,"(a) whether his Ministry is unwilling to let minority schools off the hook when it comes to setting aside 25 per cent of seats for disadvantaged children; and (b) if so, the details thereof and the reasons therefor?","MINISTER OF STATE IN THE MINISTRY OF HUMAN RESOURCE DEVELOPMENT (SMT. D. PURANDESWARI) (a) & (b) The Right of Children to Free and Compulsory Education Act, 2009 provides for the following responsibilities of schools: (i) schools which are established, owned or controlled by the appropriate Government, or a local authority shall provide free and compulsory elementary education to all children admitted therein. (ii) schools receiving aid or grants to meet whole or part of its expenses from the appropriate Government or local authority shall provide free and compulsory elementary education to such proportion of children admitted therein as its annual recurring aid or grants so received bears to its annual recurring expenses, subject to a minimum of 25%. (iii) schools belonging to ‚<U+0080><U+0098>specified category‚<U+0080><U+0099> as defined in section 2 (p) of the Act, and unaided school shall admit in class I to the extent of at least 25% of the strength of that class, children belonging to weaker section and disadvantaged group in the neighbourhood and provide free and compulsory elementary education till its completion."
