sentiment,question,aspect,from,to
2,whether it is a fact that many of the power plants coal fired as well as gas fired are not working at full capacity due to fuel crunch,power,38,43
1,whether government is gearing up to launch a new solar power policy or solar mission incorporating a number of concessions and a lot of financial inputs for those involved in the manufacturing of solar power generation equipments,power,55,60
1,whether it is a fact that central reserve police force crpf is considering to induct more girls in its force,crpf,55,59
1,the dates on which zrucc and members of parliament or common man raised demand to extend sangam express train running between meerut allahabad meerut via khurja upto saharanpur along with the details of those raising this demand,train,104,109
1,the status of national programme on technology enhanced learning project,learning,56,64
0,whether government is aware that common man did not have access to train tickets both tatkal and general during this summer due to menace of touts across the country,train,67,72
1,whether it is a fact that a nepal river would be interlinked with yamuna,river,34,39
1,whether a report submitted in last september by the department of transport research has highlighted that highways are not being constructed at the rate at which the number of vehicles isincreasing,highways,106,114
2,whether as per report of uk s department of international development 24 per cent share of the financial assistance which was provided to india by united kingdom was meant for education and the audit of the amount allocated for the sarva shiksha abhiyan has revealed that there is no record of an amount of seven crore pounds rupees four arab seventy nine cror e in the account books and an amount of one crore and forty lac pounds has been spent on items which have nothing to do with schools,schools,486,493
0,whether the ministry has received any request from some mining states to exclude manganese ore from the purview of section 5 1 of mines and minerals development and regulation act on practical grounds,mining,56,62
1,whether the flights of air india operating from trivandrum has been reduced compared to the last year,air,23,26
1,whether it is a fact that air india has been mulling over sale of assets for a long time and has a plan to raise rs 5 000 crore by march 2016,air,26,29
1,whether a rail travel regulatory authority is being constituted,rail,10,14
1,the total number of textile industries closed in the country during the last two years and current year year wise and state wise,last,72,76
2,the details of proposals for upgradation of major national highways like nh 33 75 78 23 etc in jharkhand,highways,59,67
2,whether it is fact that inspite of an increased coal production in the country a huge gap between the demand and supply still exists,coal,48,52
1,the details of funds given for the development of north eastern region by the ministry and its various organizations during this financial year,year,139,143
1,whether it is a fact that government has launched a national programme for bovine breeding and dairy development if so the details thereof,dairy,95,100
1,the state wise revenue collected from entry fees to asi monuments in last three years,last,69,73
1,whether government has held any meeting of the chief ministers of states affected by naxal activities during the last two years and this year,last,113,117
2,whether it is a fact that parliamentary committee on welfare of other backward classes recommended for conferring constitutional status to national commission for backward classes ncbc at par with national commission for scheduled castes ncsc and national commission for scheduled tribes ncst,constitutional,114,128
1,whether it is a fact that huge quantity of wheat was found damaged by exposure to rain at an fci warehouse at hapur in ghaziabad,wheat,43,48
1,whether government has allowed farmers in the country to sale wheat paddy through middlemen,wheat,62,67
2,whether railways have taken effective measures for better coordination between the railway protection force rpf government railway police grp and the state police,railways,8,16
0,a the number of man days lost due to strike during 1 april 2009 to 31 march 2013 state wise and year wise,year,96,100
0,whether the poor people of weaker section in the country don t get the benefit even after availing of loan from banks at lower interest rate due to the higher cost of land and construction work,loan,102,106
1,whether it is a fact that railways have got the first model rake of luxury a<u+0080><u+0098>make in indiaa coaches recently if so the details thereof,railways,26,34
0,whether in view of frequent accidents taking place on the railway tracks government proposes to install barbed wire fences compounds on the railway routes which have heavy train traffic,railway,58,65
1,whether it is a fact that rs 4031 crore have been allocated for spending on development and extension of food processing industries in the country during the eleventh five year plan,year,172,176
1,whether it is a fact that the issue of the allocation of yamuna river s water from taajewala head works is pending before upper yamuna river committee,yamuna,57,63
0,whether government have noticed the massive agitation by people against kudankulam and other nuclear projects in the country,kudankulam,72,82
1,whether government has revised the rates of train ticket bookings and cancellations if so the details thereof,train,44,49
1,whether any minority cell has been established in the ministry for hearing the complaints of minorities in the matters relating to law and order and security,hearing,67,74
1,whether the madhya pradesh power generation corporation has fixed a target for plant load factor plf at 76 4 per cent for thermal power plants for 2011 12 for which 170 lakh metric tonnes of coal is needed,power,27,32
1,the areas in odisha which are not connected with railway lines,railway,49,56
1,whether it is a fact that there are 471 registered nursing homes in delhi under delhi nursing homes registration act and out of them 60 per cent are not following the guidelines of world health organisation who,nursing,51,58
0,whether it is a fact that farmers commit suicide when they fail to get fair amount of money for cereals from their investments and toil,cereals,96,103
1,whether a recent world bank report has stated that india will become the fourth largest economy in the world by 2022 with more than 4 trillion dollars from 2 7 trillion in 2017 if so the details thereof and governmenta s reaction thereto,bank,23,27
1,the anomalies reported by l narsimha reddy committee on orop along with the points and recommendations made thereon the steps taken by government to implement the said recommendations and by when these recommendations would be implemented and the details thereof,anomalies,4,13
1,the details of food inflation on first of every month during each of the last three years,last,73,77
1,the details of states which are cultivating oil palm and producing palm oil in the country during the last ten years year wise and state wise,last,102,106
0,whether the trials of fixing fire alarms in trains are being conducted if so the details thereof,trains,44,50
2,whether government proposes to award mining licences through competitive biddings in the country,mining,37,43
1,whether government is considering any proposal of conducting courses on police related subject by setting up a national police university or by using existing infrastructure of universities in the country,courses,61,68
0,the state wise details of maoists security persons and civilians killed in naxal activities in the country during 2010 2011 and 2012 so far,maoists,26,33
1,whether government has decided to extend the contract of contractual teachers of ndmc schools for further five years,teachers,69,77
0,whether it is a fact that the airports at madurai salem tiruchirapalli tuticorin and vellore in the state of tamil nadu are consistently incurring losses,airports,30,38
1,what is the performance of corporate social responsibility csr activities of the profit making companies public sector companies and other private companies separately in the last two years since the law came into effect,years,184,189
1,the targets set and achievements made under the rajiv gandhi grameen vidyutikaran yojana rggvy during the eleventh five year plan state wise,rajiv,48,53
2,whether government is emphasizing upon establishment of centres for teaching and learning of urdu sanskrit chinese russian and european languages by providing special financial assistance to various universities of the country,learning,81,89
1,the state wise number of ngo`s who have applied during the last five years for registration under the foreign contribution regulation act to enable them to receive foreign contribution,last,59,63
1,the total quantum of housing loans that have been extended approved for home buyers by various public sector banks for housing projects in noida extension,loans,29,34
1,whether it is a fact that as per analysis of performance of railways made by the planning commission railways is not changing itself with the time,railways,60,68
0,whether the deficit of air india has decreased after its merger with indian airlines to bail it out from the losses,air,23,26
2,the details of new hydro power projects awarded to nhpc during the last three years,last,67,71
1,the details of funds allocated to the districts of maharashtra under various rural development schemes till date during the last three years as on date scheme wise,last,124,128
0,whether to check registration of false rape cases and their politicisation for compensation government has decided that the money to be awarded to rape victims will be decided by the special fast track courts hearing the cases,hearing,209,216
1,what is the schedule of induction of tejas mark ii aircraft into the service and the details thereof,aircraft,51,59
0,whether government is finding it difficult to ensure sustained enrolment of socially disadvantaged students in higher education,students,99,107
1,whether tourist arrival from various parts of world has shown decline during the last nine months,last,81,85
1,whether prices of tomato have risen upto 200 to 300 per cent during april to june 2016,tomato,18,24
0,whether heinous crimes like kidnapping and trafficking of girls and children to foreign countries by criminal gangs is going on unabatedly despite strict laws in place,children,68,76
1,whether government has reviewed the fixed and actual targets and achievement with regard to completion of the ongoing projects and setting up of the network of the ongoing projects and other basic network of doordarshan akashwani during the last three years,last,241,245
1,whether it is a fact that recently there are growing number of complaints regarding the working of public sector banks psbs,banks,113,118
1,whether it is a fact that the easy availability of counterfeit currency notes in the market has weakened the indian economy in the last few years,last,131,135
1,the envisaged export earning targets for the fiscal year 2008 09,year,52,56
1,the details of buffer stock of pulses and oilseeds with government at present,pulses,31,37
1,whether it is a fact that physically handicapped persons who had been selected by railways in 2009 could not get appointment till date in the name of vigilance inquiry in east coast railway,railways,82,90
1,whether government has been making use of the findings of national achievement survey nas conducted by ncert every three years,three,115,120
1,whether government proposes to revise develop a policy for rivers and water in view of the current scenario in the country and if so the details thereof,rivers,59,65
0,the reasons for delay in the construction of raipur bilaspur national highway in chhattisgarh into 4 6 lanes and by when the work would be started,highway,70,77
2,the details of the poverty alleviation programmes being implemented in assam during the last three years year wise and scheme wise,last,88,92
1,the number of cases pending in the panaji bench of the bombay high court category wise,court,67,72
1,whether the vodafone has been asked to pay ` 20 000 crore tax interest and penalty for its 2007 acquisition case following the amendment to the income tax act with retrospective effect,vodafone,12,20
0,whether government is aware of the fact that cloth textile industry is facing problem recently,textile,51,58
1,the details of amounts invested under various items through foreign direct investment fdi in financial year 2015 16 so far,year,103,107
2,whether it is a fact that telecom regulator trai has told government that about 210 mhz or units of valuable 2g spectrum can be freed up if the telecom department accepts its recommendations for cancelling 74 mobile service licences for failure to roll out services,telecom,26,33
2,whether the rakesh mohan committee on rail safety had clearly stated that coaches from integral coach factory icf should be removed as they did not have anti climbing designs to reduce impact of accidents,rail,38,42
0,whether a number of royal bengal tigers and other animals have been reported dead and killed in sundorbon forest west bengal in the last five years and the details of cause of their deaths?,last,132,136
2,whether rte act inter alia provides for playground for each school part time instructor for health and physical education in upper primary schools where admission of children is above one hundred supply of play material games and sports equipment to each class as required,schools,139,146
1,the details of central projects executed for betterment and development of rural infrastructure and rural economy during the last five years year wise and project wise,last,125,129
1,the details of the government proposal to set up rail neer packaged drinking water plants in assam and other north eastern states,drinking,68,76
2,whether government is aware that m s devas multimedia limited with whom isro sponsored antrix corporation had signed a deal to share s band spectrum has moved an arbitration petition before the international court of justice against cancellation of the contract with them,court,208,213
2,whether it is a fact that railways were able to reduce the consumption of electricity by around ? 400 crore a year through greater efficiency if so the details thereof,electricity,74,85
0,whether it is a fact that telecom regulatory authority of india trai has recommended to cancel the licences of 65 companies which have failed to start their services in time,telecom,26,33
1,the location of soil testing laboratories in the country state wise,soil,16,20
1,whether it is a fact that the ministry is going to upgrade rural roads under the pradhan mantri gram sadak yojana pmgsy,yojana,107,113
1,whether railways are planning to introduce a new train in gujarat linking mumbai anand nadiad modasa udaipur in gujarat,railways,8,16
0,whether the power plants in gujarat have been facing shortage of coal for the last few years,last,78,82
0,whether it is a fact that due to weak financial condition of government and private companies of the country their loan returning capacity has been eroded during the last three years,last,166,170
2,whether government has decided to reduce various government expenses in view of huge difference between the budgetary economic estimates during the financial year 2012 13,year,158,162
1,whether railways have received representations for construction of new railway lines from government of gujarat and various sections of people of the state,railways,8,16
1,whether there is immense potential to develop rural tourism in the country,tourism,52,59
1,whether government has decided to privatize a number of airports in thecountry,airports,56,64
1,whether it is not a fact that the condition of adivasis has not improved over the years in the absence of sanitation availability of food clean drinking water etc,drinking,144,152
2,whether government has increased passenger train fares recently,fares,49,54
1,whether government has formulated any scheme to provide subsidy to set up mini mills of pulses in the country during the last two years,last,121,125
1,the details of the various crop insurance schemes introduced in the country during the last three years,last,87,91
0,whether major part of wheat kept for public distribution in godowns of western uttar pradesh rotted due to storage under open sky and lack of maintenance,wheat,22,27
1,whether after heavy rains of 2006 and damage caused by it in mumbai and after the meeting between state and central government for financial assistance it has been decided to give financial assistance to the project of improving mithi river by bringing it under <u+0080><u+0098>additional central assistance aca,river,235,240
0,whether any of the documents have been leaked from the ministry during the last three years,last,75,79
0,whether it is a fact that there is commercialisation of education in various parts of the country leading to fall in educational standards and it deprives the poor students of higher and professional education,students,164,172
1,the details of the amount allocated to rajasthan by the central government for development of forests in the last three years,last,109,113
0,the state wise record of cases of rape of kids during the last three years,last,58,62
1,whether railways have sanctioned coach mid llife rehabilitation cmlr workshop at kurnool under south central railway scr in the year 2013 14,railways,8,16
1,whether about twenty five per cent of teachers do not attend training courses conducted by kendriya vidyalaya sangathan kvs,teachers,38,46
0,whether government is aware that several complaints relating to irregularities and corruption in all the ministries departments of the central government have been reported in the media during last two years and current year if so the governments response thereto,last,193,197
2,whether it is true that pm kaushal vikas yojana will be implemented only for one year,yojana,41,47
0,whether bangladesh has not awarded any contracts for setting up power projects to india,power,64,69
1,whether government has received any memorandum against privatization ofvarious airports built modernized and run by the airports authority of india aai,airports,79,87
2,a : whether government is aware that the department related parliamentary standing committee on coal and steel has submitted its reports recommending the increase of royalty on coal to 20 per cent ad valorem b : if so government s decision thereon,coal,96,100
1,the details of stations in rajasthan proposed to be developed under adarsh station scheme,station,75,82
2,the details of the outcome of inquiry initiated against sbi chitbaragaon ballia branch for not mentioning the fraud in noc obtained by union bank chitbaragaon branch,sbi,56,59
0,whether the centre for asia pacific aviation capa in its latest report warns that india is about to face a severe crisis as planned investments in the upcoming and existing airports is only a fraction of the required $40 billioninvestment,airports,173,181
0,whether the construction work of pmgsy road from ram nagar turn to pakdiya and bairiyahi via sudiyahi village in ram nagar panchayat of phulparas block in madhubani district of bihar had remained incomplete for almost four years,road,39,43
1,whether government has any special scheme for setting up of cold storage storages particularly for onion storage across the country to reduce the post harvest losses,onion,99,104
1,whether due to excessive use of mobile phones mental and physical diseases in the people are being caused as side effects,mobile,32,38
0,whether it is a fact that more than 15000 people die on the tracks in the country every year if so the reasons therefor,tracks,60,66
0,whether government proposes to lift the ban on export of wheat in view of bumper production of wheat this year and existing shortage of storage facilities,wheat,57,62
1,the expenditure on mgnrega during the years 2012 13 2013 14 and 2014 15,years,38,43
0,whether the water level is falling day by day if so the steps government is taking to solve this problem,water,12,17
0,a whether government is aware about the loss of rs 169 crores caused to the exchequer due to manipulations in the amount of provident fund liabilities as computed by cbi through raids conducted at 23 locations including the offices of the accused senior officers of employees provident fund organisation epfo,employees,266,275
0,whether a number of fishermen who sneaked into the territorial waters of sri lanka unintentionally were arrested and detained with their boats during the last three years and current year,last,154,158
2,whether it is a fact that the number of unemployed youth has increased in the country in the last ten years,last,93,97
2,whether it is a fact that annual allocation made towards widening strengthening and repair of national highways in assam is not utilized properly by the state government,highways,103,111
0,the aggregate annual loss to power sector due to theft pilferage at&c and other losses in the country state wise,power,29,34
2,whether it is a fact that a target for generation of 30 000 megawatt energy from the renewable energy sources have been fixed under twelfth five year plan,generation,39,49
1,whether government has taken steps for speedy implementation of programmes such as drinking water sewerage pipes and sanitation particularly in the rural areas of the country or whether there are any such programmes,drinking,83,91
1,the year wise production of coffee seeds from andhra pradesh in the last three years,year,4,8
0,a : whether it is a fact that there is an increasing trend of incidents of bomb scare at the airports in the recent days if so the details thereof,airports,93,101
2,whether it is a fact that government is considering to make online access for smart adoption of children,children,96,104
1,whether a supplementary nutrition programme snp is also in force under the integrated child development services icds scheme if so the details thereof,child,86,91
1,whether government proposes to introduce the scheme started in delhi titled <u+0080><u+0098>clean train station scheme for cleaning and disinfecting trains during their schedule stoppage using mechanized equipments at other stations of the country also,train,98,103
0,whether it is a fact that the flood forecast monitoring directorate has reported that four rivers are flowing above warning level in assam and bihar,flood,30,35
1,whether sc st reservation is being maintained as per the law in the admission for the b sc and m sc nursing courses in aiims,admission,68,77
1,whether government has received information complaints regarding irregularities in the pradhan mantri gram sadak yojana pmgsy,yojana,113,119
0,whether it is a fact that more than 3 2 million debit cards of major public and private banks have been compromised by a cyber malware attack in atm system and the national payments corporation of india,banks,88,93
2,since right to clean drinking water is a fundamental right guaranteed under article 21 of the constitution whether government has framed any new policy or action plan for effective water management in view of the fact that during the next 15 years india is expected to be left with only half the water it needs and how government proposes to deal with the huge shortage,drinking,21,29
0,whether it is a fact that government has kept the coal blocks allocation in abeyance for the last several months,last,93,97
0,whether one platform of mumbai local trains comes on one side and other comes on other side leaving passengers confused many a time and causing inconvenience to them,trains,37,43
1,whether government has the data regarding major effects and changes on india due to climate change in the last ten years if so the details thereof,last,106,110
1,whether government has set up water purification plants in some coastal areas of the country for providing drinking water,water,30,35
0,the details of officials in delhi police against whom a number of complaints have been received during the last two years and the current year so far and the nature of allegations made in the complaints,last,107,111
1,a : whether it is fact that gujarat rajasthan and andhra pradesh are far ahead in solar power generation in comparison to other states,solar,82,87
1,whether it is a fact that government has issued guidelines for cancellation of waitlisted tickets within 2 hours of train departure,train,116,121
0,whether large quantities of iron ore fines are generated during the course of mining in some cases to the extent of 60 per cent of iron ore mines which are not fit for use in blast furnaces without beneficiation,iron,28,32
1,whether it is a fact that the passenger fares of all domestic airlines were skyrocketing during the period 12 to 17 november 2010,fares,40,45
0,whether it is a fact that there is inordinate delay of nearly eight years in commissioning of kudankulam atomic power project unit 2 if so the reasons therefor,atomic,105,111
0,whether government had approved a national programme for prevention and control of cancer diabetes cardiovascular diseases and stroke for the last two years of the eleventh five year plan period i e 2010 11 and 2011 12,last,142,146
0,whether the ministry has received any representations from the state governments for centres intervention and help to guard from possible power crisis during the ensuing summer,power,138,143
2,whether it is a fact that there has been stagnation or very minimal growth in production of pulses oil seeds and deep sea marine products during last three years,pulses,92,98
1,whether the supreme court has stated during january 2012 that the people s faith in judiciary was dwindling at an alarming rate posing a very grave threat to constitutional and democratic governance of the country,court,20,25
1,whether government is planning to run bullet trains if so the details of the routes being planned and finalized so far,trains,45,51
1,whether it is a fact that lakhs of people travel by railways daily,railways,52,60
2,the diplomatic and logistical role that india is expected to play in the impending election of maldives considering the ongoing tussle between the current and previous president of the latter,maldives,95,103
1,the details of the pilferage of explosives and their recovery in various parts of the country during the last three years,last,105,109
1,whether it is a fact that for the past 12 years six mi 17 iv helicopters of bsf have been stationed in delhi resulting in drastically reducing the number of flying hours left for the task,flying,157,163
1,the number of medium large hydroelectric projects cleared with nhpc and the stages of their execution and commissioning,nhpc,63,67
0,whether nearly half of the thermal power plants in the country including over 20 000 mw capacity stations of ntpc are reeling under coal shortage with stocks to last less than a week as on july 15 2014,thermal,27,34
1,whether seven public sector banks are not in a position to provide core banking solutions cbs to their customers,banks,28,33
0,whether it is a fact that nearly 2 000 people died during the last summer due to heat wave and majority of them are from andhra pradesh and telangana,last,62,66
1,whether government has identified any thermal units which are to be retired gradually and systematically,thermal,38,45
1,the state wise details of total number of job placements as notified by the employment exchanges over the last three years,last,106,110
1,the details of developmental projects given environment clearance in jammu and kashmir during the last three years,last,98,102
2,whether there is a plan to provide rs 30 000 crore irrigation loans to farmers like refinancing the conversion of shortterm crop loan to medium term loan by nabard,loans,62,67
2,whether government has identified major clusters in maharashtra and rest of the country to promote handicrafts in a big way,clusters,40,48
0,whether railways are considering to install a new equipment that will bring train to halt automatically in case of fire,railways,8,16
1,the criteria railways adopt for its expansion in a state and whether jharkhand fits into the same,railways,13,21
2,whether it is a fact that railways are considering to allow private companies to install solar panels and generate power at new delhi railway station and railways would buy power at a pre determined rate,railways,26,34
1,the quantum of buffer stock of wheat available with government on 30th april 2010 before the arrival of new wheat crops,wheat,31,36
2,whether government framed rules to manage construction and demolition wastes to improve air quality in various cities,air,88,91
2,whether the university grants commission ugc provides financial assistance for remedial coaching to sc st students if so the details thereof,coaching,88,96
